Year,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
2021,Tottenham,25,38.0,598,349,286,244,68,262,584,44.9,322,470,161,309,355,953,793,15
2021,Watford,30,38.0,614,356,341,213,60,278,626,44.4,348,440,148,292,444,1058,899,19
2021,West Ham,25,38.0,534,301,273,199,62,240,557,43.1,317,420,175,245,374,908,781,5
2021,Wolves,26,38.0,673,377,377,242,54,273,671,40.7,398,437,135,302,389,1062,820,20
2022,Arsenal,26,38.0,568,343,238,212,118,249,510,48.8,261,362,86,276,237,805,599,23
2022,Aston Villa,26,38.0,632,338,305,251,76,312,648,48.1,336,438,118,320,324,956,714,14
2022,Bournemouth,31,38.0,618,371,316,249,53,256,614,41.7,358,499,170,329,353,971,1027,11
2022,Brentford,25,38.0,588,338,271,228,89,253,597,42.4,344,456,168,288,341,929,822,14
2022,Brighton,29,38.0,616,340,270,242,104,266,561,47.4,295,392,104,288,303,919,432,15
2022,Chelsea,32,38.0,740,445,363,267,110,333,656,50.8,323,466,108,358,341,1081,661,21
2022,Crystal Palace,26,38.0,690,421,354,246,90,281,532,52.8,251,463,119,344,359,1049,807,7
2022,Everton,28,38.0,708,424,362,257,89,309,619,49.9,310,510,180,330,390,1098,874,17
2022,Fulham,29,38.0,625,350,295,229,101,299,588,50.9,289,455,125,330,340,965,749,15
2022,Leeds United,29,38.0,840,480,376,343,121,412,870,47.4,458,536,131,405,392,1232,734,18
2022,Leicester City,28,38.0,699,412,345,291,63,308,677,45.5,369,517,170,347,367,1066,777,12
2022,Liverpool,28,38.0,590,370,228,250,112,281,651,43.2,370,350,74,276,333,923,568,20
2022,Manchester City,24,38.0,471,272,185,198,88,212,462,45.9,250,339,95,244,223,694,402,9
2022,Manchester Utd,26,38.0,657,400,343,231,83,300,600,50.0,300,496,146,350,352,1009,771,11
2022,Newcastle Utd,27,38.0,607,360,268,254,85,307,642,47.8,335,448,116,332,333,940,680,10
2022,Nott'ham Forest,33,38.0,659,387,380,201,78,296,589,50.3,293,500,156,344,349,1008,944,7
2022,Southampton,36,38.0,714,426,378,279,57,297,612,48.5,315,542,165,377,427,1141,852,11
2022,Tottenham,29,38.0,619,353,325,215,79,275,574,47.9,299,428,148,280,340,959,762,20
