,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
2022,Manchester City,24,27.2,64.7,38,418,3420,38.0,92,69,161,83,9,10,44,1.0,78.6,71.1,57.5,128.6,988,2073,2.42,1.82,4.24,2.18,4.0,2.07,1.51,3.58,1.87,3.38
2022,Manchester Utd,26,26.9,53.7,38,418,3420,38.0,56,42,98,53,3,3,78,2.0,67.7,65.3,52.2,117.5,711,1595,1.47,1.11,2.58,1.39,2.5,1.78,1.37,3.15,1.72,3.09
2022,Newcastle Utd,27,27.3,52.3,38,418,3420,38.0,64,42,106,58,6,6,61,1.0,71.9,67.3,51.8,119.1,695,1618,1.68,1.11,2.79,1.53,2.63,1.89,1.36,3.26,1.77,3.13
2022,Nott'ham Forest,33,26.5,37.6,38,418,3420,38.0,36,22,58,33,3,6,84,0.0,39.3,34.6,26.3,61.0,436,859,0.95,0.58,1.53,0.87,1.45,1.03,0.69,1.73,0.91,1.6
2022,Southampton,36,24.7,44.5,38,418,3420,38.0,36,25,61,34,2,4,73,0.0,37.8,34.6,28.1,62.7,588,1125,0.95,0.66,1.61,0.89,1.55,0.99,0.74,1.73,0.91,1.65
2022,Tottenham,29,27.6,50.0,38,418,3420,38.0,68,46,114,63,5,6,77,3.0,57.0,52.3,43.0,95.4,692,1449,1.79,1.21,3.0,1.66,2.87,1.5,1.13,2.63,1.38,2.51
2022,West Ham,25,28.2,42.1,38,418,3420,38.0,41,25,66,35,6,8,44,0.0,49.2,43.7,32.7,76.4,615,1274,1.08,0.66,1.74,0.92,1.58,1.29,0.86,2.15,1.15,2.01
2022,Wolves,32,26.7,49.9,38,418,3420,38.0,28,12,40,25,3,3,85,6.0,36.8,34.5,25.4,60.0,610,1343,0.74,0.32,1.05,0.66,0.97,0.97,0.67,1.64,0.91,1.58
2023,Arsenal,25,25.0,58.2,38,418,3420,38.0,86,62,148,76,10,10,64,2.0,76.1,68.5,55.3,123.8,821,2106,2.26,1.63,3.89,2.0,3.63,2.0,1.46,3.46,1.8,3.26
2023,Aston Villa,31,26.9,53.1,38,418,3420,38.0,72,55,127,68,4,4,94,2.0,63.3,60.3,48.6,108.9,775,1451,1.89,1.45,3.34,1.79,3.24,1.67,1.28,2.95,1.59,2.87
2023,Bournemouth,30,25.7,44.4,38,418,3420,38.0,52,39,91,50,2,3,79,3.0,55.9,53.6,40.5,94.0,709,1314,1.37,1.03,2.39,1.32,2.34,1.47,1.06,2.54,1.41,2.47
