Team,Squad_Size,Average_Age,Number_of_Foreigners,Average_Market_Value,Total_Market_Value,Position,Goal_Difference,Points,Year,Squad_Size_Normalized_by_Avg,Squad_Size_Normalized_by_Max,Average_Age_Normalized_by_Avg,Average_Age_Normalized_by_Max,Number_of_Foreigners_Normalized_by_Avg,Number_of_Foreigners_Normalized_by_Max,Average_Market_Value_Normalized_by_Avg,Average_Market_Value_Normalized_by_Max,Total_Market_Value_Normalized_by_Avg,Total_Market_Value_Normalized_by_Max
brighton & hove albion,41,26.3,29,4.74,194.35,17,-25,36,2018,1.0649350649350648,0.7592592592592593,1.0019047619047619,0.9195804195804196,1.1485148514851484,0.725,0.3847558748325825,0.15768463073852296,0.3964384791122716,0.16195833333333332
huddersfield town,33,25.8,21,4.17,137.45,20,-54,16,2018,0.8571428571428571,0.6111111111111112,0.9828571428571429,0.9020979020979021,0.8316831683168316,0.525,0.3384877633020821,0.13872255489021956,0.2803728785900783,0.11454166666666665
cardiff city,35,27.8,21,3.23,113.0,18,-35,34,2018,0.9090909090909091,0.6481481481481481,1.059047619047619,0.972027972027972,0.8316831683168316,0.525,0.26218596533950245,0.1074517631403859,0.23049934725848567,0.09416666666666666
manchester city,35,25.4,25,29.96,1050.0,2,67,81,2019,0.9032258064516129,0.625,0.9869827083738099,0.910394265232975,1.0775862068965518,0.78125,2.7985614870860775,1.0,2.5298278753300827,1.0
liverpool fc,56,23.8,32,17.9,1000.0,1,52,99,2019,1.4451612903225806,1.0,0.9248105692636487,0.8530465949820789,1.3793103448275863,1.0,1.672037737611508,0.5974632843791722,2.409359881266745,0.9523809523809523
tottenham hotspur,36,25.3,22,22.41,806.8,6,14,59,2019,0.9290322580645162,0.6428571428571429,0.9830969496794248,0.906810035842294,0.9482758620689655,0.6875,2.093316519546028,0.7479973297730307,1.9438715522060102,0.7683809523809524
chelsea fc,36,24.7,23,19.61,705.85,4,15,66,2019,0.9290322580645162,0.6428571428571429,0.9597823975131143,0.8853046594982079,0.9913793103448276,0.71875,1.8317687170146189,0.654539385847797,1.7006466721921323,0.6722380952380953
manchester united,43,24.4,27,15.59,670.45,3,30,66,2019,1.1096774193548387,0.7678571428571429,0.9481251214299591,0.8745519713261649,1.1637931034482758,0.84375,1.4562608005230957,0.5203604806408545,1.6153553323952896,0.6385238095238096
arsenal fc,38,24.8,24,15.99,607.65,8,8,56,2019,0.9806451612903225,0.6785714285714286,0.9636681562074995,0.888888888888889,1.0344827586206897,0.75,1.4936247723132972,0.5337116154873164,1.4640475318517379,0.5787142857142857
everton fc,35,26.5,22,12.02,420.55,12,-12,49,2019,0.9032258064516129,0.625,1.0297260540120456,0.949820788530466,0.9482758620689655,0.6875,1.1227873522955492,0.40120160213618156,1.01325629806673,0.40052380952380956
leicester city,32,26.4,21,12.85,411.1,5,26,62,2019,0.8258064516129032,0.5714285714285714,1.0258402953176606,0.946236559139785,0.9051724137931034,0.65625,1.2003175937602168,0.4289052069425901,0.990487847188759,0.39152380952380955
wolverhampton wanderers,44,23.6,30,7.28,320.33,7,11,59,2019,1.135483870967742,0.7857142857142857,0.9170390518748786,0.845878136200717,1.293103448275862,0.9375,0.6800242865816637,0.24299065420560748,0.7717902507661765,0.30507619047619045
west ham united,38,27.0,27,7.99,303.6,16,-13,39,2019,0.9806451612903225,0.6785714285714286,1.0491548474839711,0.967741935483871,1.1637931034482758,0.84375,0.746345336509271,0.2666889185580774,0.731481659952584,0.28914285714285715
afc bournemouth,39,25.4,17,6.98,272.18,18,-25,34,2019,1.0064516129032257,0.6964285714285714,0.9869827083738099,0.910394265232975,0.7327586206896552,0.53125,0.6520013077390128,0.23297730307076103,0.6557795724831827,0.2592190476190476
newcastle united,41,26.6,25,6.16,252.48,13,-20,44,2019,1.0580645161290323,0.7321428571428571,1.0336118127064309,0.9534050179211471,1.0775862068965518,0.78125,0.5754051655691,0.205607476635514,0.6083151828222279,0.24045714285714284
aston villa,38,26.2,22,6.1,231.7,17,-26,35,2019,0.9806451612903225,0.6785714285714286,1.0180687779288904,0.9390681003584229,0.9482758620689655,0.6875,0.5698005698005698,0.2036048064085447,0.5582486844895048,0.22066666666666665
southampton fc,36,25.0,20,5.85,210.75,11,-9,52,2019,0.9290322580645162,0.6428571428571429,0.9714396735962696,0.8960573476702509,0.8620689655172414,0.625,0.546448087431694,0.195260347129506,0.5077725949769666,0.2007142857142857
brighton & hove albion,45,25.3,29,4.46,200.78,15,-15,41,2019,1.1612903225806452,0.8035714285714286,0.9830969496794248,0.906810035842294,1.25,0.90625,0.4166082854607445,0.14886515353805072,0.48375127696073716,0.19121904761904762
watford fc,43,26.2,27,4.64,199.6,19,-28,34,2019,1.1096774193548387,0.7678571428571429,1.0180687779288904,0.9390681003584229,1.1637931034482758,0.84375,0.4334220727663351,0.1548731642189586,0.48090823230084234,0.1900952380952381
crystal palace,33,27.4,18,5.74,189.33,14,-19,43,2019,0.8516129032258064,0.5892857142857143,1.0646978822615114,0.982078853046595,0.7758620689655172,0.5625,0.5361729951893887,0.19158878504672897,0.4561641063202329,0.18031428571428573
burnley fc,35,26.8,12,4.68,163.88,10,-7,54,2019,0.9032258064516129,0.625,1.041383330095201,0.960573476702509,0.5172413793103449,0.375,0.43715846994535523,0.1562082777036048,0.3948458973419942,0.15607619047619048
norwich city,38,26.0,25,3.82,145.33,20,-49,21,2019,0.9806451612903225,0.6785714285714286,1.0102972605401204,0.931899641577061,1.0775862068965518,0.78125,0.3568259305964224,0.12750333778371162,0.35015227154449613,0.13840952380952382
sheffield united,34,27.9,16,4.08,138.6,9,0,54,2019,0.8774193548387097,0.6071428571428571,1.0841266757334367,1.0,0.6896551724137931,0.5,0.38111251226005327,0.13618157543391188,0.3339372795435709,0.132
manchester city,36,25.3,23,29.01,1040.0,1,51,86,2020,0.9,0.6792452830188679,0.9836702954898912,0.8971631205673759,0.9766454352441614,0.71875,2.5311927405985517,1.0,2.2725037966109105,1.0
liverpool fc,43,24.9,28,22.55,969.65,3,26,69,2020,1.075,0.8113207547169812,0.9681181959564541,0.8829787234042553,1.1889596602972399,0.875,1.9675420992932553,0.7773181661496036,2.1187820253690086,0.9323557692307692
chelsea fc,39,25.7,23,22.8,889.2,4,22,67,2020,0.975,0.7358490566037735,0.9992223950233282,0.9113475177304965,0.9766454352441614,0.71875,1.9893552046069278,0.7859358841778696,1.9429907461023284,0.8550000000000001
manchester united,39,25.4,26,19.74,770.05,2,29,74,2020,0.975,0.7358490566037735,0.9875583203732504,0.900709219858156,1.1040339702760085,0.8125,1.7223627955675769,0.6804550155118924,1.6826361044040685,0.7404326923076923
tottenham hotspur,41,25.2,23,17.16,703.5,7,23,62,2020,1.025,0.7735849056603774,0.9797822706065319,0.8936170212765957,0.9766454352441614,0.71875,1.4972515487304772,0.5915201654601862,1.5372177124190147,0.6764423076923077
arsenal fc,42,24.9,27,14.74,619.25,8,16,61,2020,1.05,0.7924528301886793,0.9681181959564541,0.8829787234042553,1.1464968152866242,0.84375,1.2861006892941278,0.5081006549465701,1.3531230538954868,0.5954326923076924
